LDPC与空间耦合LDPC性能对比结果 (码率 5/6)
==========================================

普通LDPC结果:
Eb/N0 (dB)	BER
-2.22		1.86e-01
-1.22		1.67e-01
-0.22		1.36e-01
0.78		1.16e-01
1.78		9.05e-02
2.78		6.75e-02
3.78		3.66e-02
4.78		2.04e-02
5.78		8.86e-03
6.78		3.82e-03
7.78		1.09e-03
8.78		3.64e-04
9.78		9.09e-05

空间耦合LDPC结果:
SNR (dB)	BER
0.00		1.58e-01
1.00		1.30e-01
2.00		9.98e-02
3.00		7.21e-02
4.00		4.25e-02
5.00		1.66e-02
6.00		1.94e-03
7.00		8.83e-05
8.00		1.33e-05
9.00		6.67e-06
10.00		1.00e-07
11.00		1.00e-07
12.00		1.00e-07
